budget(in million),revenue(in million),content_score,user_score,genres,director,release_year,release_month,release_day,release_weekday,run_time (in minuts),title,url
45.0,38.399961,100,70,"Adventure,Comedy,Drama",Wayne Wang,2006,1,13,4,112,Last Holiday,https://www.themoviedb.org/movie/17379
0.825,nan,100,54,"Comedy,Romance,Drama",Eric Amadio,2008,2,19,1,78,After Sex,https://www.themoviedb.org/movie/17097
nan,nan,100,70,"Adventure,Western",Paul Greengrass,2020,12,25,4,118,News of the World,https://www.themoviedb.org/movie/581032
50.0,41.482207,100,64,"Comedy,Horror,Fantasy",Joe Dante,1990,6,15,4,106,Gremlins 2: The New Batch,https://www.themoviedb.org/movie/928
nan,nan,100,73,"Animation,Comedy,Family,Mystery",Brandon Vietti,2014,3,25,1,84,Scooby-Doo! WrestleMania Mystery,https://www.themoviedb.org/movie/258893
nan,1.502605,100,70,"Action,Animation,Science Fiction",Takayuki Hamana,2018,10,19,4,111,Magical Girl Lyrical Nanoha: Detonation,https://www.themoviedb.org/movie/547912
73.0,151.493655,100,68,"Drama,Mystery,Thriller,Crime",Phillip Noyce,1999,11,5,4,118,The Bone Collector,https://www.themoviedb.org/movie/9481
3.86,64.076736,100,65,"Action,Drama,History",Wong Kar-wai,2013,8,30,4,130,The Grandmaster,https://www.themoviedb.org/movie/44865
nan,686.067,100,80,"Animation,Fantasy,Adventure",Yu Yang,2019,7,26,4,110,Ne Zha,https://www.themoviedb.org/movie/615453
20.0,46.069568,100,61,"Drama,History",Kevin Reynolds,2016,2,19,4,107,Risen,https://www.themoviedb.org/movie/335778
nan,nan,100,70,"Action,Fantasy,Animation",Ken'ichi Takeshita,2010,1,23,5,107,Fate/stay night: Unlimited Blade Works,https://www.themoviedb.org/movie/46304
185.0,786.636033,100,60,"Adventure,Action",George Lucas,2008,5,22,3,122,Indiana Jones and the Kingdom of the Crystal Skull,https://www.themoviedb.org/movie/217
70.0,154.984035,100,60,"War,Drama,History,Action",George Clooney,2014,1,24,4,118,The Monuments Men,https://www.themoviedb.org/movie/152760
25.0,56.505065,100,76,"Western,Action",George P. Cosmatos,1993,12,25,5,130,Tombstone,https://www.themoviedb.org/movie/11969
nan,nan,71,67,Documentary,Hubert Sauper,2014,1,18,5,110,We Come as Friends,https://www.themoviedb.org/movie/253155
1.1,4.105187,100,74,"Action,Thriller,Crime",Gareth Evans,2012,5,11,4,101,The Raid,https://www.themoviedb.org/movie/94329
14.0,18.090181,100,64,"Horror,Mystery,Fantasy",Wes Craven,1994,10,14,4,112,New Nightmare,https://www.themoviedb.org/movie/11596
40.0,45.735397,100,56,"Comedy,Romance",Jason Winer,2011,4,8,4,110,Arthur,https://www.themoviedb.org/movie/49012
nan,nan,100,70,"Drama,Romance",Haifaa al-Mansour,2017,8,6,6,120,Mary Shelley,https://www.themoviedb.org/movie/332283
7.0,3.719383,100,63,"Action,Crime,Mystery",Ben Wheatley,2017,4,21,4,90,Free Fire,https://www.themoviedb.org/movie/334521
nan,13.868965,100,76,"Thriller,Crime,Drama",Emerald Fennell,2020,12,25,4,114,Promising Young Woman,https://www.themoviedb.org/movie/582014
nan,nan,100,34,"Comedy,Romance",Pavel Hoodyakov,2013,12,20,4,104,Odnoklassniki.ru: The Magic Laptop,https://www.themoviedb.org/movie/247849
nan,1.2,100,62,"Drama,Romance",Sean Durkin,2020,5,8,4,107,The Nest,https://www.themoviedb.org/movie/545237
nan,nan,100,70,"Action,Fantasy,Horror,Science Fiction",Masaru Nakamura,2007,3,15,3,139,Dororo,https://www.themoviedb.org/movie/16221
130.0,379.014294,100,56,"Science Fiction,Action,Thriller",Roland Emmerich,1998,5,20,2,139,Godzilla,https://www.themoviedb.org/movie/929
35.0,50.36379,100,71,"Drama,History",Peter Landesman,2015,12,25,4,123,Concussion,https://www.themoviedb.org/movie/321741
0.1,nan,100,65,"Horror,Thriller",Damien Leone,2016,10,15,5,84,Terrifier,https://www.themoviedb.org/movie/420634
25.0,40.452643,100,63,"Action,Thriller",Philip G. Atwell,2007,8,24,4,103,War,https://www.themoviedb.org/movie/10431
nan,nan,100,72,"Science Fiction,Animation,Action,Fantasy",William Moulton Marston,2019,10,5,5,83,Wonder Woman: Bloodlines,https://www.themoviedb.org/movie/537055
51.5,56.106607,100,74,"Thriller,Crime,Mystery",David Cronenberg,2007,9,21,4,100,Eastern Promises,https://www.themoviedb.org/movie/2252
50.0,151.165787,100,61,"Animation,Comedy,Adventure,Family",Jeffrey M. Howard,2014,7,18,4,83,Planes: Fire & Rescue,https://www.themoviedb.org/movie/218836
0.45,nan,100,74,"Action,Thriller,TV Movie",Richard Matheson,1971,11,13,5,90,Duel,https://www.themoviedb.org/movie/839
nan,6.901965,100,57,"Action,Drama",George Nolfi,2017,9,29,4,103,Birth of the Dragon,https://www.themoviedb.org/movie/408266
nan,nan,100,71,"Animation,Action,Adventure",Grant Morrison,2014,5,13,1,74,Son of Batman,https://www.themoviedb.org/movie/251519
